object_id,type,height,width,depth,diameter,length_unit,weight,weight_unit,notes,sort_order
1,Dimensions,17.2500,,,,in.,,,Metric: 43.8 cm.,1
2,Unframed Dimensions,27.2500,16.2500,,,in.,,,Metric: 69.2 x 41.2 cm. (canvas),1
2,Framed Dimensions,34.7500,24.7500,4.0000,,in.,,,Metric: 88.2 x 62.8 x 10.1 cm. (framed),2
3,Image Dimensions,9.0000,13.9375,,,in.,,,Metric: 22.7 x 35.4 cm. (image),1
4,Sheet Dimensions,22.3000,,,,cm.,,,sheet,1
5,Dimensions A,372.0000,36.0000,11.0000,,in.,,,A) Metric: 944.8 x 91.4 x 27.9,1
5,Dimensions B,98.0000,357.0000,10.2500,,in.,,,B) Metric: 248.9 x 906.7 x 26.03,2
5,Dimensions C,104.0000,271.0000,12.0000,,in.,,,C) Metric: 264.1 x 688.3 x 30.4,3
5,Dimensions D,228.0000,100.0000,11.0000,,in.,,,D) Metric: 579.1 x 254 x 27.9,4
5,Dimensions E,480.0000,77.0000,15.0000,,in.,,,E) Metric: 1219.2 x 195.5 x 38.1 (assembled),5
6,Dimensions,87.0000,,,,in.,,,,1
7,Dimensions,0.5000,,,2.0000,in.,,,Metric: 1.3 x 5.1 (diam.) cm.,1
8,Dimensions,0.5000,,,2.0000,in.,,,Metric: 1.3 x 5.1,1
9,Dimensions,0.5000,,,2.0000,in.,,,Metric: 1.3 x 5.1 cm.,1
10,Image Dimensions,7.1250,9.1250,,,in.,,,Metric: 18.1 x 23.2 (image),1
10,Sheet Dimensions,12.0000,18.0000,,,in.,,,Metric: 30.5 x 45.7 (sheet),2
11,Dimensions,23.7500,19.2500,,,in.,,,Metric: 60.3 x 48.9 cm.,1
11,Framed Dimensions,30.1250,26.0000,,,in.,,,Metric: 76.5 x 66 cm. (framed),2
12,Dimensions,12.5000,2.5000,0.3800,,in.,,,Metric: 31.8 x 6.4 x 0.9 cm.,1
13,Dimensions,144.0000,144.0000,72.0000,,in.,,,Metric: 365.8 x 365.8 x 182.9 cm.,1
13,Weight,,,,,,9200.0000,lbs.,total weight,2
13,Weight,,,,,,4100.0000,lbs.,weight of LV,3
13,Weight,,,,,,2300.0000,lbs.,weight of O,4
13,Weight,,,,,,2800.0000,lbs.,weight of E,5
14,Dimensions,39.1880,33.2500,,,in.,,,Metric: 99.5 x 84.5 cm.,1
14,Framed Dimensions,45.1250,39,2.3750,,in.,,,Metric: 114.6 x 99.1 x 6 cm. (framed),2
16,Framed Dimensions,86.5000,59.0000,2.5000,,in.,,,Metric: 219.8 x 149.9 x 6.4 (framed),1
16,Unframed Dimensions,82.2500,54.2500,,,in.,,,Metric: 209.6 x 137.7 (canvas),2
17,Dimensions,84.0000,86.0000,,,in.,,,Metric: 213.4 x 218.4 cm.,1
